KO_ID	KO_name	KO_def	module_IDs	module_defs	pathway_IDs	pathway_defs
K00240	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	M00009; M00011; M00149; M00173; M00374; M00376	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Succinate dehydrogenase, prokaryotes; Reductive citrate cycle (Arnon-Buchanan cycle); Dicarboxylate-hydroxybutyrate cycle; 3-Hydroxypropionate bi-cycle	map00020; map00190; map00650; map00720; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Oxidative phosphorylation; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00241	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	M00009; M00011; M00149; M00173; M00374; M00376	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Succinate dehydrogenase, prokaryotes; Reductive citrate cycle (Arnon-Buchanan cycle); Dicarboxylate-hydroxybutyrate cycle; 3-Hydroxypropionate bi-cycle	map00020; map00190; map00650; map00720; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Oxidative phosphorylation; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00242	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	M00009; M00011; M00149; M00173	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Succinate dehydrogenase, prokaryotes; Reductive citrate cycle (Arnon-Buchanan cycle)	map00020; map00190; map00650; map00720; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Oxidative phosphorylation; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00243	K00243	uncharacterized protein				
K00244	frdA	fumarate reductase flavoprotein subunit	M00009; M00011; M00150; M00173	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Fumarate reductase, prokaryotes; Reductive citrate cycle (Arnon-Buchanan cycle)	map00020; map00190; map00620; map00650; map00720; map01100; map01110; map01120; map01200; map02020	Citrate cycle (TCA cycle); Oxidative phosphorylation; Pyruvate metabolism; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Two-component system
K00245	frdB	fumarate reductase iron-sulfur subunit	M00009; M00011; M00150; M00173	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Fumarate reductase, prokaryotes; Reductive citrate cycle (Arnon-Buchanan cycle)	map00020; map00190; map00620; map00650; map00720; map01100; map01110; map01120; map01200; map02020	Citrate cycle (TCA cycle); Oxidative phosphorylation; Pyruvate metabolism; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Two-component system
K00246	frdC	fumarate reductase subunit C	M00009; M00011; M00150; M00173	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Fumarate reductase, prokaryotes; Reductive citrate cycle (Arnon-Buchanan cycle)	map00020; map00190; map00620; map00650; map00720; map01100; map01110; map01120; map01200; map02020	Citrate cycle (TCA cycle); Oxidative phosphorylation; Pyruvate metabolism; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Two-component system
K00247	frdD	fumarate reductase subunit D	M00009; M00011; M00150; M00173	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Fumarate reductase, prokaryotes; Reductive citrate cycle (Arnon-Buchanan cycle)	map00020; map00190; map00620; map00650; map00720; map01100; map01110; map01120; map01200; map02020	Citrate cycle (TCA cycle); Oxidative phosphorylation; Pyruvate metabolism; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Two-component system
K00248	ACADS, bcd	butyryl-CoA dehydrogenase	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	map00071; map00280; map00410; map00640; map00650; map01100; map01110; map01120; map01200; map01212	Fatty acid degradation; Valine, leucine and isoleucine degradation; beta-Alanine metabolism; Propanoate metabolism; Butanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Fatty acid metabolism
K00249	ACADM, acd	acyl-CoA dehydrogenase	M00036; M00087	Leucine degradation, leucine => acetoacetate + acetyl-CoA; beta-Oxidation	map00071; map00280; map01100; map01110; map01212; map03320	Fatty acid degradation; Valine, leucine and isoleucine degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Fatty acid metabolism; PPAR signaling pathway
K00252	GCDH, gcdH	glutaryl-CoA dehydrogenase	M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	map00071; map00310; map00362; map00380; map01100; map01110; map01120	Fatty acid degradation; Lysine degradation; Benzoate degradation; Tryptophan metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00253	IVD, ivd	isovaleryl-CoA dehydrogenase	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00280; map01100	Valine, leucine and isoleucine degradation; Metabolic pathways
K00254	DHODH, pyrD	dihydroorotate dehydrogenase	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	map00240; map01100; map01240	Pyrimidine metabolism; Metabolic pathways; Biosynthesis of cofactors
K00259	ald	alanine dehydrogenase			map00250; map00430; map01100	Alanine, aspartate and glutamate metabolism; Taurine and hypotaurine metabolism; Metabolic pathways
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+)	M00740	Methylaspartate cycle	map00220; map00250; map00471; map00910; map01100; map01120; map01200; map04217; map04964	Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; D-Glutamine and D-glutamate metabolism; Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism; Necroptosis; Proximal tubule bicarbonate reclamation
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+)			map00220; map00250; map00910; map01100; map01120	Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00263	E1.4.1.9	leucine dehydrogenase			map00280; map00290; map01100; map01110	Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
K00265	gltB	glutamate synthase (NADPH) large chain			map00250; map00910; map01100; map01110; map01120; map01230	Alanine, aspartate and glutamate metabolism; Nitrogen metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of amino acids
K00266	gltD	glutamate synthase (NADPH) small chain			map00250; map00910; map01100; map01110; map01120; map01230	Alanine, aspartate and glutamate metabolism; Nitrogen metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of amino acids
K00273	DAO, aao	D-amino-acid oxidase			map00260; map00311; map00330; map00470; map00472; map01100; map01110; map04146	Glycine, serine and threonine metabolism; Penicillin and cephalosporin biosynthesis; Arginine and proline metabolism; D-Amino acid metabolism; D-Arginine and D-ornithine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Peroxisome
K00274	MAO, aofH	monoamine oxidase	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00260; map00330; map00340; map00350; map00360; map00380; map00950; map00982; map01100; map01110; map04726; map04728; map05012; map05030; map05031; map05034	Glycine, serine and threonine metabolism; Arginine and proline metabolism; Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Tryptophan metabolism; Isoquinoline alkaloid biosynthesis; Drug metabolism - cytochrome P450; Metabolic pathways; Biosynthesis of secondary metabolites; Serotonergic synapse; Dopaminergic synapse; Parkinson disease; Cocaine addiction; Amphetamine addiction; Alcoholism
K00275	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase	M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	map00750; map01100; map01120; map01240	Vitamin B6 metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of cofactors
K00276	AOC3, AOC2, tynA	primary-amine oxidase			map00260; map00350; map00360; map00410; map00950; map00960; map01100; map01110	Glycine, serine and threonine metabolism; Tyrosine metabolism; Phenylalanine metabolism; beta-Alanine metabolism; Isoquinoline alkaloid biosynthesis; Tropane, piperidine and pyridine alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
K00278	nadB	L-aspartate oxidase	M00115	NAD biosynthesis, aspartate => quinolinate => NAD	map00250; map00760; map01100; map01240	Alanine, aspartate and glutamate metabolism; Nicotinate and nicotinamide metabolism; Metabolic pathways; Biosynthesis of cofactors
K00279	CKX	cytokinin dehydrogenase			map00908	Zeatin biosynthesis
K00281	GLDC, gcvP	glycine dehydrogenase	M00532	Photorespiration	map00260; map00630; map01100; map01110; map01200	Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism
K00282	gcvPA	glycine dehydrogenase subunit 1			map00260; map00630; map01100; map01110; map01200	Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism
K00283	gcvPB	glycine dehydrogenase subunit 2			map00260; map00630; map01100; map01110; map01200	Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism
K00284	GLU, gltS	glutamate synthase (ferredoxin)			map00630; map00910; map01120	Glyoxylate and dicarboxylate metabolism; Nitrogen metabolism; Microbial metabolism in diverse environments
K00285	dadA	D-amino-acid dehydrogenase			map00360; map01100	Phenylalanine metabolism; Metabolic pathways
K00286	proC	pyrroline-5-carboxylate reductase	M00015	Proline biosynthesis, glutamate => proline	map00330; map01100; map01110; map01230	Arginine and proline metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
K00287	DHFR, folA	dihydrofolate reductase	M00126; M00840	Tetrahydrofolate biosynthesis, GTP => THF; Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	map00670; map00790; map01100; map01240; map01523	One carbon pool by folate; Folate biosynthesis; Metabolic pathways; Biosynthesis of cofactors; Antifolate resistance
K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming)	M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	map00300; map00310; map01100; map01110; map01230	Lysine biosynthesis; Lysine degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase			map00250; map00330; map01100	Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Metabolic pathways
K00295	MTD1	methylenetetrahydrofolate dehydrogenase (NAD+)			map00670; map01100	One carbon pool by folate; Metabolic pathways
K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADH)	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	map00670; map00720; map01100; map01120; map01200	One carbon pool by folate; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00298	ceo	N5-(carboxyethyl)ornithine synthase				
K00299	ssuE, msuE	FMN reductase			map00740; map00920; map01100	Riboflavin metabolism; Sulfur metabolism; Metabolic pathways
K00300	mtdA	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+)	M00140	C1-unit interconversion, prokaryotes	map00670; map00680; map01100; map01120; map01240	One carbon pool by folate; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of cofactors
K00301	E1.5.3.1	sarcosine oxidase			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00302	soxA	sarcosine oxidase, subunit alpha			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00303	soxB	sarcosine oxidase, subunit beta			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00304	soxD	sarcosine oxidase, subunit delta			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00305	soxG	sarcosine oxidase, subunit gamma			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00306	PIPOX	sarcosine oxidase / L-pipecolate oxidase			map00260; map00310; map01100; map04146	Glycine, serine and threonine metabolism; Lysine degradation; Metabolic pathways; Peroxisome
K00307	BBE1	reticuline oxidase	M00945; M00946	Sanguinarine biosynthesis, (S)-reticuline => sanguinarine; Noscapine biosynthesis, (S)-reticuline => noscapine	map00950; map01100; map01110	Isoquinoline alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
K00309	dmg	dimethylglycine oxidase			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00311	ETFDH	electron-transferring-flavoprotein dehydrogenase				
K00313	fixC	electron transfer flavoprotein-quinone oxidoreductase				
K00314	SARDH	sarcosine dehydrogenase			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00315	DMGDH	dimethylglycine dehydrogenase			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00316	spdH	spermidine dehydrogenase			map00330; map00410; map01100	Arginine and proline metabolism; beta-Alanine metabolism; Metabolic pathways
K00317	dmd-tmd	dimethylamine/trimethylamine dehydrogenase			map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00318	PRODH, fadM, putB	proline dehydrogenase			map00330; map01100; map01110	Arginine and proline metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K00320	mer	5,10-methylenetetrahydromethanopterin reductase	M00567	Methanogenesis, CO2 => methane	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00322	sthA, udhA	NAD(P) transhydrogenase			map00760; map01100	Nicotinate and nicotinamide metabolism; Metabolic pathways
K00324	pntA	H+-translocating NAD(P) transhydrogenase subunit alpha			map00760; map01100	Nicotinate and nicotinamide metabolism; Metabolic pathways
K00325	pntB	H+-translocating NAD(P) transhydrogenase subunit beta			map00760; map01100	Nicotinate and nicotinamide metabolism; Metabolic pathways
K00326	E1.6.2.2	cytochrome-b5 reductase			map00520	Amino sugar and nucleotide sugar metabolism
K00327	POR	NADPH-ferrihemoprotein reductase				
K00330	nuoA	NADH-quinone oxidoreductase subunit A	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00331	nuoB	NADH-quinone oxidoreductase subunit B	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00332	nuoC	NADH-quinone oxidoreductase subunit C	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00333	nuoD	NADH-quinone oxidoreductase subunit D	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00334	nuoE	NADH-quinone oxidoreductase subunit E	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00335	nuoF	NADH-quinone oxidoreductase subunit F	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00336	nuoG	NADH-quinone oxidoreductase subunit G	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00337	nuoH	NADH-quinone oxidoreductase subunit H	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00338	nuoI	NADH-quinone oxidoreductase subunit I	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00339	nuoJ	NADH-quinone oxidoreductase subunit J	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00340	nuoK	NADH-quinone oxidoreductase subunit K	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00341	nuoL	NADH-quinone oxidoreductase subunit L	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00342	nuoM	NADH-quinone oxidoreductase subunit M	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00343	nuoN	NADH-quinone oxidoreductase subunit N	M00144	NADH:quinone oxidoreductase, prokaryotes	map00190; map01100	Oxidative phosphorylation; Metabolic pathways
K00344	qor, CRYZ	NADPH:quinone reductase				
K00346	nqrA	Na+-transporting NADH:ubiquinone oxidoreductase subunit A				
K00347	nqrB	Na+-transporting NADH:ubiquinone oxidoreductase subunit B				
K00348	nqrC	Na+-transporting NADH:ubiquinone oxidoreductase subunit C				
K00349	nqrD	Na+-transporting NADH:ubiquinone oxidoreductase subunit D				
K00350	nqrE	Na+-transporting NADH:ubiquinone oxidoreductase subunit E				
K00351	nqrF	Na+-transporting NADH:ubiquinone oxidoreductase subunit F				
K00355	NQO1	NAD(P)H dehydrogenase (quinone)			map00130; map01100; map01110; map01240; map05200; map05208; map05225; map05418	Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors; Pathways in cancer; Chemical carcinogenesis - reactive oxygen species; Hepatocellular carcinoma; Fluid shear stress and atherosclerosis
K00357	QDPR	dihydropteridine reductase			map00790; map01100	Folate biosynthesis; Metabolic pathways
K00359	qorA	NADPH:quinone reductase				
K00362	nirB	nitrite reductase (NADH) large subunit	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	map00910; map01100; map01120	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00363	nirD	nitrite reductase (NADH) small subunit	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	map00910; map01100; map01120	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00364	E1.7.1.7, guaC	GMP reductase			map00230; map01100	Purine metabolism; Metabolic pathways
K00365	uaZ	urate oxidase	M00546	Purine degradation, xanthine => urea	map00230; map00232; map01100; map01120	Purine metabolism; Caffeine metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00366	nirA	ferredoxin-nitrite reductase	M00531	Assimilatory nitrate reduction, nitrate => ammonia	map00910; map01100; map01120	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00367	narB	ferredoxin-nitrate reductase	M00531	Assimilatory nitrate reduction, nitrate => ammonia	map00910; map01100; map01120	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00368	nirK	nitrite reductase (NO-forming)	M00529	Denitrification, nitrate => nitrogen	map00910; map01100; map01120	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit	M00529; M00530; M00804	Denitrification, nitrate => nitrogen; Dissimilatory nitrate reduction, nitrate => ammonia; Complete nitrification, comammox, ammonia => nitrite => nitrate	map00910; map01100; map01120; map02020	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Two-component system
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit	M00529; M00530; M00804	Denitrification, nitrate => nitrogen; Dissimilatory nitrate reduction, nitrate => ammonia; Complete nitrification, comammox, ammonia => nitrite => nitrate	map00910; map01100; map01120; map02020	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Two-component system
K00372	nasA	assimilatory nitrate reductase catalytic subunit	M00531	Assimilatory nitrate reduction, nitrate => ammonia	map00910; map01100; map01120	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00373	narJ, narW	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW			map02020	Two-component system
K00374	narI, narV	nitrate reductase gamma subunit	M00529; M00530	Denitrification, nitrate => nitrogen; Dissimilatory nitrate reduction, nitrate => ammonia	map00910; map01100; map01120; map02020	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Two-component system
K00375	K00375	GntR family transcriptional regulator / MocR family aminotransferase				
K00376	nosZ	nitrous-oxide reductase	M00529	Denitrification, nitrate => nitrogen	map00910; map01100; map01120	Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component	M00176	Assimilatory sulfate reduction, sulfate => H2S	map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component	M00176	Assimilatory sulfate reduction, sulfate => H2S	map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00382	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase	M00009; M00011; M00032; M00036; M00307; M00532	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Lysine degradation, lysine => saccharopine => acetoacetyl-CoA; Leucine degradation, leucine => acetoacetate + acetyl-CoA; Pyruvate oxidation, pyruvate => acetyl-CoA; Photorespiration	map00010; map00020; map00260; map00280; map00310; map00380; map00620; map00630; map00640; map01100; map01110; map01120; map01200; map01240	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation; Lysine degradation; Tryptophan metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of cofactors
K00383	GSR, gor	glutathione reductase (NADPH)			map00480; map01100; map04918; map05415	Glutathione metabolism; Metabolic pathways; Thyroid hormone synthesis; Diabetic cardiomyopathy
K00384	trxB, TRR	thioredoxin reductase (NADPH)			map00450	Selenocompound metabolism
K00387	SUOX	sulfite oxidase			map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00389	yidH	putative membrane protein				
K00390	cysH	phosphoadenosine phosphosulfate reductase	M00176	Assimilatory sulfate reduction, sulfate => H2S	map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00392	sir	sulfite reductase (ferredoxin)	M00176	Assimilatory sulfate reduction, sulfate => H2S	map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00394	aprA	adenylylsulfate reductase, subunit A	M00596	Dissimilatory sulfate reduction, sulfate => H2S	map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00395	aprB	adenylylsulfate reductase, subunit B	M00596	Dissimilatory sulfate reduction, sulfate => H2S	map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00404	ccoN	cytochrome c oxidase cbb3-type subunit I	M00156	Cytochrome c oxidase, cbb3-type	map00190; map01100; map02020	Oxidative phosphorylation; Metabolic pathways; Two-component system
K00405	ccoO	cytochrome c oxidase cbb3-type subunit II	M00156	Cytochrome c oxidase, cbb3-type	map00190; map01100; map02020	Oxidative phosphorylation; Metabolic pathways; Two-component system
K00406	ccoP	cytochrome c oxidase cbb3-type subunit III	M00156	Cytochrome c oxidase, cbb3-type	map00190; map01100; map02020	Oxidative phosphorylation; Metabolic pathways; Two-component system
K00407	ccoQ	cytochrome c oxidase cbb3-type subunit IV	M00156	Cytochrome c oxidase, cbb3-type	map00190; map01100; map02020	Oxidative phosphorylation; Metabolic pathways; Two-component system
K00410	fbcH	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	M00151	Cytochrome bc1 complex respiratory unit	map00190; map01100; map02020	Oxidative phosphorylation; Metabolic pathways; Two-component system
K00411	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit	M00151; M00152	Cytochrome bc1 complex respiratory unit; Cytochrome bc1 complex	map00190; map01100; map02020; map04260; map04714; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Two-component system; Cardiac muscle contraction; Thermogenesis; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K00412	CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit	M00151; M00152	Cytochrome bc1 complex respiratory unit; Cytochrome bc1 complex	map00190; map01100; map02020; map04260; map04714; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Two-component system; Cardiac muscle contraction; Thermogenesis; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K00413	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit	M00151; M00152	Cytochrome bc1 complex respiratory unit; Cytochrome bc1 complex	map00190; map01100; map02020; map04260; map04714; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Two-component system; Cardiac muscle contraction; Thermogenesis; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K00416	QCR6, UQCRH	ubiquinol-cytochrome c reductase subunit 6	M00152	Cytochrome bc1 complex	map00190; map01100; map04260; map04714; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Cardiac muscle contraction; Thermogenesis; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K00417	QCR7, UQCRB	ubiquinol-cytochrome c reductase subunit 7	M00152	Cytochrome bc1 complex	map00190; map01100; map04260; map04714; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Cardiac muscle contraction; Thermogenesis; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
